term,abbreviation,synonyms,related,definition,audience,images,uuid
rapid test,,,"Antibody, Enzyme-Linked Immunosorbent Assay, western blot","A type of HIV antibody test used to screen for HIV infection. A rapid HIV antibody test can detect HIV antibodies in blood or oral fluid in less than 30 minutes. A positive rapid HIV antibody test must be confirmed by a second, different antibody test (a positive Western blot) for a person to be definitively diagnosed with HIV infection.",Advanced,,1f615719-9663-4a9a-a6ea-bd1e2668e9be
receptor,,,CD4 Receptor,"A protein that is located inside or on the surface of a cell and that binds to a specific substance, such as a hormone, antigen, virus, or neurotransmitter. The binding of the substance to the cell receptor causes a change in the activity of the cell. In order to enter a host cell, HIV must first bind to receptors on the host cell.",Advanced,,c0e9d600-5bc9-4cf7-9feb-5b53c76a84c0
rechallenge,,,,"Restarting a drug that was stopped because it was considered the likely cause of an adverse effect. When the drug is restarted, the person is closely monitored for any signs of the adverse effect.",,,e53add24-87dd-4149-80a8-c9319cde4a09
recombinant,,,Genetic Engineering,"DNA produced in a laboratory by joining segments of DNA from different sources. Recombinant can also describe proteins, cells, or organisms made by genetic engineering.",,,7330684d-da7d-4e48-b523-5b14b6321700
red blood cell,,"Erythrocyte, Red Blood Corpuscle",,"Blood cells that carry oxygen to all parts of the body. Red blood cells have a high concentration of hemoglobin, a protein that binds to oxygen from the lungs and that gives blood its red color.",,,69b79aab-bf5d-44e3-971b-4ff51001da4b
refractory,,,,"Resistant to treatment. For example, a refractory disease or condition is one that is not responding to treatment.",,,ac86d010-c0b1-4dcf-86c9-959ecf01a45f
R5-tropic virus,,"M-tropic virus, macrophage-tropic virus","CCR5, CCR5 Antagonist, CD4 Receptor, CD4 T Lymphocyte, CXCR4, Dual-Tropic Virus, X4-Tropic Virus","A strain of HIV that enters and infects a host CD4 cell by attaching to the CCR5 coreceptor on the CD4 cell. To enter a CD4 cell, HIV must first attach to a CD4 receptor, then attach to either the CCR5 or CXCR4 coreceptor, and finally fuse its membrane with the CD4 cell membrane. HIV is usually R5-tropic (uses CCR5) during the early stages of infection, but the virus may later switch to using either only CXCR4 (X4-tropic) or both CCR5 and CXCR4 (dual-tropic). anti-retroviral (ARV) drugs in the CCR5 inhibitor drug class block HIV from attaching to the CCR5 coreceptor, preventing HIV entry into the CD4 cell.",Advanced,,f4654072-6dee-410a-8e32-7f965b0f4a8d
regimen simplification,,treatment simplification,adherence,"Making changes to an HIV treatment regimen to make medication adherence easier. Simplifying an HIV regimen can include reducing the number of anti-retroviral (ARV) drugs in the regimen or changing to a combination ARV drug that provides a one-pill, once-daily complete regimen. Other changes can include switching to ARV drugs that cause fewer adverse effects or to ARV drugs that can be taken without food. Benefits of regimen simplification include long-term medication adherence, reduced risk of treatment failure, and improved quality of life.",Living with HIV,https://aidsinfo.nih.gov/images/glossaryimages/Regimen-Simplification-600.jpg,29086fa6-d291-4539-9c08-b308d73bd571
relapse,,,Remission,The recurrence of a disease after a period of remission or apparent recovery.,,,1273f4ef-ec02-4780-b31b-14b512f53003
relative contraindication,,,Contraindication,When a particular treatment or procedure should be used with caution. The risk of using the treatment or procedure is acceptable because the benefits outweigh the risks.,,,94f75517-827b-4ac7-bd57-71c0b838c942
remission,,,Relapse,The period during which symptoms of a disease diminish or disappear.,,,abbaf68b-b506-47db-9058-261dccd90a9d
renal,,,,Pertaining to the kidneys.,,,69cd6042-278c-469e-9587-0d2400d4f749
replicate,,,Life Cycle,To produce a copy or duplicate. The HIV life cycle describes the 7-step process by which HIV replicates.,Advanced,,1dd668cc-17ed-4a85-9fcc-65e0ecb14197
regulatory T lymphocyte,,"regulatory T cell, supressor T cell, supressor T lymphocyte",T Lymphocyte,A type of lymphocyte. Regulatory T lymphocytes (regulatory T cells) prevent the immune system from becoming over-active during an immune response and from attacking normal cells.,Living with HIV,,5348ee75-2e31-4a18-aad1-8d839ffe9be0
replication,,transcription and translation,Life Cycle,"The fifth of seven steps in the HIV life cycle. Once HIV is integrated into the host CD4 cell DNA, the virus begins to use the machinery of the CD4 cell to create long chains of HIV proteins. The protein chains are the building blocks for more HIV.",Advanced,"https://aidsinfo.nih.gov/images/glossaryimages/Replication-(Step-5)-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Life-Cycle-600.jpg",c72d3a07-15c2-4387-b7ce-b66fa2cd381f
retina,,,,The light-sensitive membrane that lines the inside of the eye and sends visual messages through the optic nerve to the brain.,,,c37d3e2c-10b9-40b5-96ec-f04a894ca165
retinal detachment,,,Retina,"Separation of the retina from its supporting tissue. Retinal detachment must be treated promptly to avoid permanent vision loss. Retinal detachment can be a complication of cytomegalovirus (CMV) retinitis, which is a viral infection that can occur in people with weakened immune systems, including people with HIV.",Advanced,,85073866-183a-41d0-b236-3396e1695c51
retinitis,,,Retina,Inflammation of the retina.,,,c0e874db-9fe1-487f-b517-41561e871578
retrospective study,,,,A type of medical research study. Retrospective studies look back in time to compare a group of people with a particular disease or condition to a group of people who do not have the disease or condition. Researchers study the medical and lifestyle histories of the people in each group to learn what factors may be associated with the disease or condition.,,,e797414f-f840-4c00-8c6e-8f766f3f351a
retrovirus,,,Life Cycle,"A type of virus that uses RNA as its genetic material. After infecting a cell, a retrovirus uses an enzyme called reverse transcriptase to convert its RNA into DNA. The retrovirus then integrates its viral DNA into the DNA of the host cell, which allows the retrovirus to replicate. HIV, the virus that causes AIDS, is a retrovirus.",Newly Infected,,147b3e0a-a469-41fe-a62b-8bb0df3a1ef1
reverse transcriptase,RT,,"Reverse Transcription, Non-Nucleoside Reverse Transcriptase Inhibitor, Life Cycle","An enzyme found in HIV (and other retroviruses). HIV uses reverse transcriptase (RT) to convert its RNA into viral DNA, a process called reverse transcription. Non-nucleoside reverse transcriptase inhibitors (NNRTIs) prevent HIV from replicating by blocking RT.",Advanced,https://aidsinfo.nih.gov/images/glossaryimages/Reverse-Transcription-(Step-3)-600.jpg,8911a081-b28b-45dd-8683-e3eb5f1380c3
reverse transcriptase-polymerase chain reaction-based assay,RT-PCR,,viral load Test,"A type of viral load test. Viral load tests are used to diagnose acute HIV infection, guide treatment choices, and monitor response to anti-retroviral therapy (ART).",Advanced,,27ac1b1a-ef9f-4918-a2ad-b93e38497286
reverse transcription,,,"Reverse Transcriptase, Nucleoside Reverse Transcriptase Inhibitor, Life Cycle, Non-Nucleoside Reverse Transcriptase Inhibitor","The third of seven steps in the HIV life cycle. Once inside a CD4 cell, HIV releases and uses reverse transcriptase (an HIV enzyme) to convert its genetic material—HIV RNA—into HIV DNA. The conversion of HIV RNA to HIV DNA allows HIV to enter the CD4 cell nucleus and combine with the cell’s genetic material—cell DNA.",Advanced,"https://aidsinfo.nih.gov/images/glossaryimages/Reverse-Transcription-(Step-3)-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Life-Cycle-600.jpg",b5b58279-a226-48fe-bc34-d8ee3e474936
rhabdomyolysis,,,,"Breakdown or death of muscle tissue, often with release of muscle fiber contents into the bloodstream and sometimes leading to acute renal failure. Rhabdomyolysis may be caused by HIV infection, opportunistic infections, or some anti-retroviral (ARV) drugs.",Advanced,,608a4e78-fdf2-456b-a6da-5317b877573e
ribonucleic acid,RNA,,"deoxyribonucleic acid, Messenger RNA",One of two types of genetic material found in all living cells and many viruses. (The other type of genetic material is DNA.) There are several types of ribonucleic acid (RNA). RNA plays important roles in protein synthesis and other cell activities.,,,dbe29eea-3d07-4055-9703-38e0ad680c3b
rigors,,,,Shivering that is caused by a chill.,,,26ca6c26-3282-4809-a5ba-20883500241e
resistance testing,,resistance assay,"Drug Resistance, Phenotypic anti-retroviral Resistance Test, Genotypic anti-retroviral Resistance Test","Laboratory testing to identify which, if any, anti-retroviral (ARV) drugs will not be effective against a person's specific strain of HIV. Resistance testing is done using a sample of blood. There are two types of resistance testing: genotypic and phenotypic. Resistance testing is used to guide selection of an HIV regimen when initiating or changing anti-retroviral therapy (ART).",Newly Infected,,1727f462-c39a-4499-ad42-e4d940c1d740
Salmonella,,,,"A group of bacteria. Salmonella is the most common cause of foodborne illnesses in the United States. Infection with Salmonella can cause diarrhea, nausea, fever, and headache. In people with weakened immune systems, including people with HIV, the symptoms of Salmonella infection are more severe than in people with healthy immune systems.",Advanced,,91d595cb-6aad-4da2-9032-ae0a802044bc
Salmonella septicemia,,,"AIDS-defining condition, Salmonella","A life-threatening Salmonella infection that has spread to the bloodstream. Salmonella septicemia can be caused by any of the Salmonella bacteria, which are found in contaminated food and water. The infection is systemic and affects virtually every organ system. The most common symptom is a fever that comes and goes. In people with HIV, recurrent Salmonella septicemia is an AIDS-defining condition.",Advanced,,fb4db466-0257-47cb-8a28-2e67c8e77374
Ryan White HIV/AIDS Program,,Ryan White CARE Act,Health Resources and Services Administration,"The largest federally funded program providing HIV-related services to low-income, uninsured, and underinsured people with HIV/AIDS. The program's services are available in all 50 states and U.S. territories.",Newly Infected,,fadd4cbf-c6a3-4c7f-850c-bca890abc39e
seborrheic dermatitis,,,,"A non-contagious inflammatory skin condition characterized by flaky, white to yellowish scales on various areas of the body, including the scalp, eyebrows, eyelids, ears, and trunk. Seborrheic dermatitis can occur with or without redness. The exact cause of seborrheic dermatitis is unknown, but it may be due to an overproduction of skin oil combined with irritation from a yeast. Factors that might increase the risk of seborrheic dermatitis include family history, stress, fatigue, use of alcohol-containing lotions, skin disorders, obesity, HIV infection, and certain neurologic conditions.",Advanced,,43714f96-8849-4648-9fdd-93457d4e8f30
salvage therapy,,rescue therapy,"Drug Resistance, Treatment Failure",Therapy given when the standard treatment for a disease or condition is no longer effective and when treatment options are limited. People with HIV who have experienced toxicity and/or developed resistance to many HIV drugs receive salvage therapy.,Advanced,,0aeaf6be-8cf5-4bd8-a411-8b9130975b8f
self-administered therapy,SAT,,Directly Observed Therapy,A method of drug administration in which a person takes medication without being observed by a health care professional.,,,7009a4af-afa8-4229-bc8a-e10e8ad3ed0f
secondary transmission,,horizontal transmission,"sexual transmission, vertical transmission","The transfer (spread) of HIV that mainly occurs during sex or needle sharing as the result of contact with the semen, vaginal fluid, or blood of an HIV-infected partner. (HIV transmission from mother to child during pregnancy, labor and delivery, or breastfeeding is called vertical transmission.)",Advanced,https://aidsinfo.nih.gov/images/glossaryimages/Secondary-Transmission-600.jpg,79e7fc3e-6923-4a7b-ad12-10e15e8e034e
semen-derived enhancer of virus infection,SEVI,,,Protein fibers found in semen that can trap HIV and help HIV attach to cells. Semen-derived enhancer of virus infection (SEVI) increases the risk of sexual transmission of HIV.,Advanced,,9cfc527b-9762-4bdd-986d-b6ed5a529c2a
sensitivity,,,"Specificity, True Positive","The probability that a medical test will detect the condition being tested for in people who actually have the condition. In other words, a sensitive test is one that produces true positive results. For example, the enzyme-linked immunosorbent assay (ELISA) HIV antibody test is highly sensitive, which means the test can detect HIV in most people infected with HIV. However, because the ELISA can sometimes mistakenly recognize antibodies to other diseases as antibodies to HIV (a false positive result), a western blot or other HIV test is used to confirm a positive ELISA HIV antibody test.",Advanced,,60b99188-c72c-4ab2-8bfa-0ada6880074b
sepsis,,,,"An overwhelming, life-threatening immune response to infection. Sepsis causes a systemic reaction that includes fever, chills, rapid heart rate, increased breathing rate, and possibly shock. Sepsis can also cause body organs, such as the kidneys or lungs, to fail. Sepsis is more likely to occur in people with weakened immune systems, including people with HIV, than in people with healthy immune systems.",Advanced,,a9af37f7-c4ad-4b4c-bee4-6dbd3c322847
seroconversion,,,Window Period,"The transition from infection with HIV to the detectable presence of HIV antibodies in the blood. When seroconversion occurs (usually within a few weeks of infection), the result of an HIV antibody test changes from HIV negative to HIV positive.",Newly Infected,,fd491c15-6a23-44f2-91e0-01143d30a151
serologic test,,,,A blood test to detect the presence of antibodies against a microorganism. A serologic test can determine whether a person has been exposed to a particular microorganism.,,,7215044f-9899-4de5-8a80-6c36e1f5da08
seroprevalence,,,,"The overall occurrence of a disease or condition within a defined population at one time, as measured by blood tests (serologic tests).",,,289945d8-e0b7-49bf-a413-205e67c5154c
serostatus,,,,"The state of either having or not having detectable antibodies against a specific antigen, as measured by a blood test (serologic test). For example, HIV seropositive means that a person has detectable antibodies to HIV; seronegative means that a person does not have detectable HIV antibodies.",Newly Infected,,08bf0074-949c-4059-9414-d10773cdf963
serum,,,,"The clear, yellowish liquid part of blood that remains after clotting. Serum is used for various laboratory tests.",,,35cdaa69-1dcb-4ebe-862e-f957c45b578a
semen,,seminal fluid,,"A thick, whitish fluid that is discharged from the male penis during ejaculation. Semen contains sperms and various secretions. HIV can be transmitted through the semen of a man with HIV.",Advanced,,43ecf064-5a26-4407-a0c7-89ff9b2409e1
sexual transmission,,,Vertical Transmission,"Transmission of HIV, or other sexually transmitted infection, from one individual to another as the result of sexual contact.",Newly Infected,,ad42333f-ecfe-45ff-8d25-3001cf932a34
set point,,viral set point,viral load,"The viral load (HIV RNA) that the body settles at within a few weeks to months after infection with HIV. Immediately after infection, HIV multiplies rapidly and a person’s viral load is typically very high. After a few weeks to months, this rapid replication of HIV declines and the person's viral load drops to its set point.",Advanced,,879a1a77-862e-4639-a21e-cda1d9331478
shigellosis,,,opportunistic infection,"An enteric (intestinal) infection caused by the bacterium Shigella, which is typically transmitted through contact with contaminated human feces. Symptoms usually include watery or bloody diarrhea, abdominal pain, nausea, and fever. Certain bacterial enteric infections, including shigellosis, occur at a much higher rate in people with HIV than in people with healthy immune systems.",Advanced,,ab9c0a69-2d45-41db-a658-02c13c21d0cf
shingles,,,"Varicella Zoster Virus, herpesviruses","A non-contagious disease caused by the varicella zoster virus (VZV or HHV-3). VZV is the same virus that causes chickenpox. The virus remains in the nervous system of people who have had chickenpox, and it can become active years later to cause shingles. Symptoms of shingles can include numbness, itching, and severe pain that is followed by a rash of blister-like lesions along one side of the body. The pain can persist for weeks, months, or years after the rash heals. People with HIV are more at risk for shingles than people with healthy immune systems.",Advanced,,2d967231-c8c4-45ca-b116-f7d06c8ff80c
simian immunodeficiency virus,SIV,,human immunodeficiency virus,"An HIV-like virus that can infect monkeys and apes and can cause a disease similar to AIDS. Because HIV and simian immunodeficiency virus (SIV) are closely related viruses, researchers study SIV as a way to learn more about HIV. However, SIV cannot infect humans, and HIV cannot infect monkeys.",Advanced,,b4d33e80-6c6f-46ff-8d9f-b6a6835c3206
single-blind study,,single-masked study,"clinical trial, Double-Blind Study",A type of clinical trial in which either the investigators or the participants are unaware of the treatment (or other intervention) that the participants are receiving.,,,9288ec8a-5ea1-49cc-a429-ca6681b7b5d5
specificity,,,"Sensitivity, True Negative","The probability that a medical test will correctly produce a negative test result for a person who does not have the condition being tested. In other words, a specific test is one that produces true negative results. For example, the specificity of the western blot is very high; the test seldom mistakes antibodies to other diseases as antibodies to HIV. For that reason, the western blot is used to confirm a positive enzyme-linked immunosorbent assay (ELISA) or other HIV antibody test.",Advanced,,ae4702b9-e8bf-477d-ac5e-f0e310d3960d
sperm washing,,,discordant couple,"A laboratory procedure used to separate semen (the fluid part of ejaculate) from sperm. Sperm washing can be considered as a reproductive option for an HIV discordant couple in which the man is the HIV-infected partner. Because the seminal fluid contains the highest concentration of HIV, the “washed” sperm contains little if any HIV. However, because sperm washing has not been proven completely effective, couples using the procedure should be counseled regarding the potential risks for transmission of HIV.",Advanced,,d60aef9c-81b4-4a4d-9b67-14e00caac033
spermicide,,,,"A topical preparation or substance used during sexual intercourse to kill sperm. Although spermicides may prevent pregnancy, they do not protect against HIV infection or other sexually transmitted infections. Irritation of the vagina and rectum that sometimes occurs with use of spermicides may increase the risk of sexual transmission of HIV.",Advanced,,b1cd9149-b779-40ff-8493-e6c14cd5d363
spinal tap,,Lumbar Puncture,Cerebrospinal Fluid,A procedure in which a needle is inserted into the lower region of the spinal cord to collect cerebrospinal fluid (CSF). The CSF is examined in a laboratory to diagnose and monitor certain infections. A spinal tap may also be performed to inject drugs or to reduce spinal fluid pressure.,,,b3b3eb1a-ccb6-424c-8780-b87b676f5bc9
spleen,,,Lymphatic System,"An organ of the lymphatic system. The spleen is located on the left side of the body, above the stomach. The spleen helps fight infection, keeps body fluids in balance, stores blood, and destroys old and damaged cells.",,,f6c1be96-f56e-456f-9ae4-7e92d0080ac1
splenomegaly,,,Spleen,Abnormal enlargement of the spleen.,,,48271b20-7cb9-4e78-91d7-1a6e33adf0d3
sputum analysis,,,,"Laboratory evaluation of sputum to detect certain infections, such as bacterial pneumonia and tuberculosis (TB). Sputum is the mucus-containing material produced by the cells lining the lungs and airways (bronchial tubes). The sputum used for analysis is collected when a person coughs or spits.",,,02161dd7-9a92-49b1-b7b6-4c5e25f7e16b
standard of care,,"Best Practice, Standard Medical Care, Standard Therapy",,"Treatment that experts agree is appropriate, accepted, and widely used for a given disease or condition.",,,f7295d24-0ab5-455f-9692-f20939357314
statin,,"HMG-CoA reductase inhibitor, lipid-lowering agent",cholesterol,Any of a group of drugs used to lower the amount of cholesterol in the blood. Statins block a key liver enzyme involved in making cholesterol.,,,e662d51d-3e88-4649-9533-7450eb9d4d58
stem cells,,,,"Unspecialized cells from which other types of cells develop. When a stem cell divides, each new cell has the potential either to remain a stem cell or to become a specialized cell with a distinct function, such as a muscle cell or blood cell. Stem cells serve as a repair system for the body, replacing old and damaged cells. Research on using stem cells to treat various diseases is currently under way.",,,44ac3c29-4b1b-4310-80a7-7eff2895c1ce
Stevens-Johnson syndrome,SJS,,,"A severe and sometimes fatal form of skin rash characterized by red, blistered spots on the skin; blisters in the mouth, eyes, genitals, or other moist areas of the body; peeling skin that results in painful sores; and fever, headache, and other flu-like symptoms. Internal organs may also be affected. Stevens-Johnson syndrome (SJS) may occur as a severe reaction to certain drugs, including some anti-retroviral (ARV) HIV drugs.",Advanced,,9ff61afe-3f33-4904-a163-712144ffcdb9
stomatitis,,,,"Inflammation of the mucous membranes of the mouth, such as the gums or lips. The causes of stomatitis vary and can include injury to the mouth, allergy, and infection.",,,69de1770-b665-455f-85f1-1e130da70da9
strain,,,,"A group of organisms, such as bacteria or viruses, that belong to the same species and share certain characteristics not found in other members of the species. For example, HIV can mutate into different strains, with each strain having a different type of resistance to anti-retroviral (ARV) drugs.",Newly Infected,,0ce64538-c146-42f7-9336-c301b1b13cf2
Streptococcus pneumonia infection,,,"opportunistic infection, Pneumonia","Infection caused by the bacterium Streptococcus pneumonia, which is spread through contact with respiratory droplets from a person who is infected with or carrying the bacteria. The bacteria are a major cause of common illnesses, such as inflammation of the sinuses (sinusitis), but can also result in life-threatening infections, including meningitis and pneumonia. People with weakened immune systems, including people with HIV, are at higher risk for bacterial pneumonia, including Streptococcus pneumonia infection, than people with healthy immune systems.",Advanced,,c93d6c4a-eea5-404c-b63c-51ecc6214874
stroke,,Brain Attack,,"An interruption of blood flow to the brain, caused by a broken or blocked blood vessel. A stroke results in sudden loss of brain function, such as loss of consciousness, paralysis, or changes in speech. Stroke is a medical emergency and can be life-threatening.",,,951c9121-c9d7-4a81-a398-7ac50d6f1906
sexually transmitted infection,STI,sexually transmitted disease,,"An infectious disease that spreads from person to person during sexual contact. Sexually transmitted infections, such as syphilis, HIV infection, and gonorrhea, are caused by bacteria, parasites, and viruses.",Newly Infected,,7ca746d5-3d16-454a-9256-12dee3279026
subclinical infection,,,,An infection that has no symptoms or noticeable signs. A subclinical infection may be an early stage of an infection or a very mild infection.,,,3b6b7cb7-dde9-4c0a-b77d-ad51d6a65bff
subcutaneous,SC,,,Pertaining to the area beneath the layers of the skin. Some drugs are given by subcutaneous injection.,,,d264d7b0-c8a8-494e-991f-a3c9e2d7a690
subcutaneous adipose tissue,SAT,,"Visceral Adipose Tissue, Lipodystrophy Syndrome",Fat tissue located right under the skin. HIV-associated lipodystrophy can include changes in subcutaneous adipose tissue (SAT) and may be related to use of certain anti-retroviral (ARV) drugs.,Advanced,,a899d28f-bd01-40b9-b7f6-cd8cfd0bc8e7
suboptimal immunologic response,,Immunologic Failure,"Treatment Failure, Viral Suppression","After anti-retroviral therapy (ART) is initiated, the failure to achieve and maintain adequate CD4 counts despite viral suppression.",,,523f2a05-8498-4af0-819a-b17c51dd6697
Substance Abuse and Mental Health Services Administration,SAMHSA,,,"The lead federal agency for reducing the impact of substance abuse and mental illness in the United States. The Substance Abuse and Mental Health Services Administration (SAMHSA) provides grant funding to address issues of HIV, AIDS, and viral hepatitis.",Advanced,,a9755316-c0b3-4961-bf3d-e5524225ca43
subtype,,clade,,"A subgroup of genetically related HIV-1 viruses. HIV-1 can be classified into four groups: M Group, N Group, O Group, and P Group. Viruses within each group can then be further classified by subtype. For example, the HIV-1 M group includes at least nine subtypes: A1, A2, B, C, D, F1, F2, G, H, J, and K.",Living with HIV,,868d0265-1cf8-4b12-9bfd-e52ba5ff3ffa
superinfection,,,Drug Resistance,"When a person who is already infected with HIV becomes infected with a second, different strain of HIV. Superinfection may cause HIV to advance more rapidly. Superinfection can also complicate treatment if the newly acquired strain of HIV is resistant to anti-retroviral (ARV) drugs in the person’s current HIV treatment regimen.",Newly Infected,,4ce301c9-5835-4248-bfc5-b22ec9ded136
superiority trial,,,Non-Inferiority Trial,A clinical trial designed to show that a new drug (or other intervention) is more effective than the drug to which it is compared.,,,3245db5f-a442-40c2-afbd-d3ea37b2b6ef
surrogate endpoint,,surrogate marker,"Clinical Endpoint, clinical trial","Substitute measure for a clinical endpoint. Because it can be difficult to measure clinical endpoints in studies running for several years, researchers often use surrogate endpoints as substitute measures for clinical endpoints. For example, in HIV-related clinical trials, rising CD4 count is used as a surrogate endpoint for progression of HIV infection.",Advanced,,e1ec1564-51eb-4ca3-a34d-afd80e1835ba
sustained virologic response,,sustained viral suppression,,"The continuous, long-term suppression of a person’s viral load (HIV RNA)—generally to undetectable levels—as the result of treatment with anti-retroviral (ARV) drugs.",,,e3080bd4-74eb-4253-88a6-4e42c8a4e720
syncytium,,,,"A large cell-like structure that forms when many cells fuse together. Syncytia can form during viral infection. In some people with HIV, syncytia formation has been linked to more rapid progression of HIV infection.",Advanced,,03d3922e-bcfb-44dd-a2ed-f3bc6e35958f
syndrome,,,,A group of symptoms or conditions that occur together and are collectively associated with a specific disease or with the risk of developing a specific disease.,,,d93a0c52-1fee-46e4-83e3-234669540fcd
syphilis,,,"sexually transmitted infection, opportunistic infection","An infectious disease caused by the bacterium Treponema pallidum, which is typically transmitted through direct contact with a syphilis sore, usually during vaginal, anal, or oral sex. Syphilis can also be transmitted from an infected mother to her child during pregnancy. Syphilis sores occur mainly on the genitals, anus, and rectum, but also on the lips and mouth. Genital sores (chancres) caused by syphilis increase the risk of sexual transmission of HIV.",Advanced,,bc1c81d8-bcdb-4d03-8a29-0509a2aec8d7
systemic,,,,Pertaining to the entire body. A systemic infection affects the whole body. Systemic drug therapy involves giving a drug that travels through the bloodstream and affects cells throughout the body.,Advanced,,d40ae921-895e-49d5-8c11-37cb4798151e
T cell,,T lymphocyte,"CD4 T lymphocyte, CD8 T lymphocyte, lymphocyte","A type of lymphocyte. There are two major types of T lymphocytes: CD8 cells (cytotoxic T lymphocytes) and CD4 cells (helper T lymphocytes); both T cell types are essential for a healthy immune system. HIV infects and destroys CD4 cells, gradually destroying the immune system.",Newly Infected,,91a6cc9b-40e1-47e6-b9fd-8102b5a04877
T-cell exhaustion,,T-cell depletion,,"The gradual decrease in T-cell function that can occur with chronic infections and cancers. T-cell exhaustion weakens the immune system, making it difficult for the body to fight off infections or kill cancer-causing cells.",Advanced,,7887cbbb-ebf8-47dc-b051-039f15361df7
tachycardia,,,,"Abnormal rapid heartbeat. In adults, a rate over 100 beats per minute is usually considered tachycardia. Tachycardia can occur as part of lactic acidosis, which may be caused by advanced HIV infection or some anti-retroviral (ARV) drugs.",Advanced,,6db4c690-3ed3-48df-aaf1-b6a73b5c22b1
tachypnea,,,,"Abnormal increased rate of breathing. Tachypnea can occur as part of lactic acidosis, which may be caused by advanced HIV infection or anti-retroviral (ARV) drugs.",Advanced,,8cacb1c4-5eb1-4baf-9456-80e1716e17c6
Tanner staging,,,,"A scale used to classify the onset and progression of puberty in children and adolescents. The scale describes five stages of physical development on the basis of sex characteristics, such as pubic hair growth, development of genitalia in boys, and development of breasts in girls. Because children mature at different rates, health care providers use Tanner staging (in addition to age) to determine appropriate dosing of drugs to treat HIV infection and opportunistic infections.",Advanced,,51ff4b67-1d77-483a-8927-15dbecf56ca1
teratogenic,,,,Pertaining to birth defects and developmental malformations. Some anti-retroviral (ARV) drugs should be avoided during pregnancy because they can potentially have teratogenic effects on the developing fetus.,,,127545e0-b744-4788-9c73-6be2228e5b21
testosterone,,,,"A type of sex hormone. Testosterone is necessary for developing and maintaining certain male sex characteristics, and it helps maintain muscle mass and bone density. Testosterone deficiency is common with HIV and may result in a decrease in muscle mass, an increase in body fat, or erectile dysfunction.",Advanced,,56c78ef5-8d24-41a9-b86b-8d9a88d74280
therapeutic drug monitoring,TDM,,Therapeutic Index,"Measuring the concentration of a drug in the blood at scheduled intervals. Therapeutic drug monitoring (TDM) is used to determine the dose at which a drug will be most safe and effective. Although TDM is not generally recommended for routine use in HIV treatment, it may be considered in some situations.",Advanced,,02ead8e8-92c7-49f5-a5b1-f422f17e423a
therapeutic HIV vaccine,,HIV therapeutic vaccine,"preventive HIV vaccine, vaccine","A vaccine to slow the progression of HIV infection or delay the onset of AIDS. To date, no therapeutic HIV vaccine exists, but research is underway.",Advanced,,e4e2844d-0052-445f-9f41-cf038d4e3fd6
therapeutic index,TI,,Therapeutic Drug Monitoring,"A ratio that compares the blood concentration at which a drug becomes toxic and the concentration at which the drug is effective. The larger the therapeutic index (TI), the safer the drug is. If the TI is small (the difference between the two concentrations is very small), the drug must be dosed carefully and the person receiving the drug should be monitored closely for any signs of drug toxicity.",,,8732865e-4237-45ae-91d9-cf5c1156c66d
thrombocytopenia,,,Platelet,A lower-than-normal number of blood platelets.,,,afcdf949-c126-439f-96fc-6b26bc1c800b
thymus,,,"Lymphatic System, T Lymphocyte","An organ of the lymph system where T lymphocytes (T cells) develop and mature. The thymus is important for normal immune system development early in life and is at its largest size at puberty. The thymus declines in size and function during adult life, eventually being replaced by fat.",,,39a4731e-2609-4965-9185-a9af38e6257c
TID,,"t.i.d., tid",,An abbreviation for “three times a day.” The abbreviation is commonly used in drug dosing instructions.,,,87ba44c4-ad0a-4bdf-a4c5-dde4e1072bfa
titer,,,,"A laboratory measurement of the concentration of a substance in a solution. For example, an antibody titer measures the presence and amount of antibodies in the blood.",,,78d23bb3-70ba-40d4-9a35-0056ce4c8c30
tolerance,,,,"The ability to tolerate a drug when given as prescribed. In other words, tolerance means benefiting from the drug without having any adverse effects that would make it impossible to continue taking the drug.",Newly Infected,,72a2a2e3-e134-46dd-bdb2-7265ae6a776d
topical,,,,"Pertaining to a drug or treatment applied to the outer surface of the body, such as the skin or mucous membranes.",,,259f79cf-4861-4676-9c56-6182db84bc81
toxic epidermal necrolysis,TEN,,Stevens-Johnson Syndrome,A severe form of Stevens-Johnson syndrome involving at least 30% of the total body skin area.,,,33543437-983d-402f-9ad2-1bd40ac33bb6
drug toxicity,,,Adverse Event,The extent to which a drug causes adverse effects. Drug toxicity is one of the factors considered when selecting anti-retroviral (ARV) drugs to include in an HIV treatment regimen.,Newly Infected,,dd4a78c3-f23b-49b2-a65d-0a468bf4c074
toxoplasmosis,,,"AIDS-defining condition, opportunistic infection","An infection caused by the parasite Toxoplasma gondii. Toxoplasmosis is most commonly transmitted by contact with infected cat feces, eating contaminated meat, or drinking contaminated water. Toxoplasmosis can also be transmitted from an infected mother to her child during pregnancy. Symptoms, if any, include swollen lymph nodes and muscles aches that last for a month or more. Severe toxoplasmosis can cause damage to the brain, eyes, or other organs. In people with HIV, toxoplasmosis of the brain is an AIDS-defining condition.",Living with HIV,,1f85a08b-62ad-4e3b-b23d-20767544ffbd
